State,Year,CoCs,Population,CoCs_per_hundredthousands
CO,2011,3,5121108,0.05858107268973824
CT,2011,7,3588283,0.1950793736168524
DC,2011,1,619800,0.16134236850596967
DE,2011,1,907381,0.11020728888967259
FL,2011,28,19053237,0.146956656236418
GA,2011,7,9802431,0.07141085716390148
HI,2011,2,1379329,0.14499803890152385
IA,2011,3,3066336,0.09783663629817475
ID,2011,2,1583910,0.12626980068311963
IL,2011,20,12867454,0.15543090342502877
IN,2011,3,6516528,0.046036785232872475
KS,2011,5,2869225,0.17426308497939338
KY,2011,3,4369821,0.06865269767342873
LA,2011,9,4575625,0.1966944406501844
MA,2011,20,6613583,0.3024079383293443
MD,2011,16,5839419,0.27399986197256954
ME,2011,3,1328284,0.22585531407439977
MI,2011,21,9882412,0.21249873006711317
MN,2011,10,5346143,0.1870507391964637
MO,2011,8,6010275,0.1331053903523549
MS,2011,3,2978731,0.10071402889351204
MT,2011,1,997316,0.10026912232431848
NC,2011,12,9657592,0.1242545760889464
ND,2011,1,685225,0.14593746579590644
NE,2011,3,1840672,0.16298395368647972
NH,2011,3,1320202,0.22723795297992277
NJ,2011,19,8828117,0.2152214339705738
NM,2011,2,2080450,0.09613304813862386
NV,2011,3,2712730,0.11058970114976426
NY,2011,32,19499241,0.16410895172791598
OH,2011,9,11544663,0.07795810063923043
OK,2011,8,3788379,0.21117211345538553
OR,2011,7,3872036,0.18078344312914446
PA,2011,18,12745815,0.1412228249037037
RI,2011,1,1053649,0.09490826641509649
SC,2011,4,4671994,0.08561654830892335
SD,2011,1,823579,0.12142126013412192
TN,2011,10,6399291,0.1562673114881008
TX,2011,16,25645629,0.06238879927647709
UT,2011,3,2814384,0.10659526205379223
VA,2011,20,8101155,0.24687837721905087
VT,2011,2,627049,0.3189543400914442
WA,2011,7,6826627,0.10253965831149117
WI,2011,4,5705288,0.07011039582927277
WV,2011,4,1856301,0.2154822951665705
WY,2011,1,567299,0.17627388731515478
AK,2012,2,730443,0.2738064434870346
AL,2012,8,4815588,0.1661271686863577
AR,2012,6,2952164,0.20324074136802697
AZ,2012,3,6554978,0.045766743992123236
CA,2012,42,37948800,0.11067543637743486
CO,2012,3,5192647,0.057774002353712856
CT,2012,7,3594547,0.19473942057232804
DC,2012,1,634924,0.15749916525442414
DE,2012,1,915179,0.10926824151340886
FL,2012,28,19297822,0.14509409403817694
GA,2012,7,9901430,0.07069685893855736
HI,2012,2,1394804,0.14338932208396304
IA,2012,3,3076190,0.09752323491071747
ID,2012,2,1595324,0.1253663832550629
IL,2012,20,12882510,0.15524924878769744
IN,2012,3,6537703,0.04588767645149986
KS,2012,5,2885257,0.17329478795129863
KY,2012,3,4386346,0.06839405737714262
LA,2012,9,4600972,0.19561084049196562
MA,2012,19,6663005,0.28515662227478444
MD,2012,16,5886992,0.27178565895791945
ME,2012,2,1327729,0.15063314878262055
MI,2012,21,9897145,0.21218240209676628
MN,2012,10,5376643,0.18598965934691963
MO,2012,8,6024367,0.1327940346263765
MS,2012,3,2983816,0.1005423926944557
MT,2012,1,1003783,0.09962312571541858
NC,2012,12,9749476,0.12308353802809505
ND,2012,1,701176,0.14261754538090293
NE,2012,3,1853303,0.1618731529598776
NH,2012,3,1324232,0.22654640576575705
NJ,2012,19,8844942,0.21481203607666394
NM,2012,2,2087309,0.0958171502159
NV,2012,3,2743996,0.10932960543674262
NY,2012,31,19572932,0.15838199407222178
OH,2012,9,11548923,0.07792934458044269
OK,2012,8,3818814,0.2094891241102604
OR,2012,7,3899001,0.17953316759857205
PA,2012,18,12767118,0.14098718285520664
RI,2012,1,1054621,0.09482079344143536
SC,2012,4,4717354,0.08479329725943824
SD,2012,1,833566,0.1199665053517058
TN,2012,10,6453898,0.15494511998795146
TX,2012,14,26084481,0.05367175984831747
UT,2012,3,2853375,0.10513865159679327
VA,2012,19,8185080,0.23212967985651942
VT,2012,2,626090,0.31944289159705475
WA,2012,7,6897058,0.1014925494319462
WI,2012,4,5719960,0.06993055895495773
WV,2012,4,1856872,0.21541603298450296
WY,2012,1,576305,0.17351923026869454
AK,2013,2,737068,0.2713453846863519
AL,2013,8,4830081,0.16562869235526279
AR,2013,6,2959400,0.2027437994188011
AZ,2013,3,6632764,0.045230012706618236
CA,2013,40,38260787,0.10454568015028023
CO,2013,3,5269035,0.056936421944435746
CT,2013,6,3594841,0.16690585202516606
DC,2013,1,650581,0.15370876186055235
DE,2013,1,923576,0.10827479276204666
FL,2013,28,19545621,0.1432545939573882
GA,2013,9,9972479,0.09024837254608407
HI,2013,2,1408243,0.1420209438285864
IA,2013,3,3092997,0.09699330455218676
ID,2013,2,1611206,0.12413062016899143
IL,2013,20,12895129,0.1550973239585273
IN,2013,3,6568713,0.04567104697678221
KS,2013,5,2893212,0.17281830712716523
KY,2013,3,4404659,0.06810969929794793
LA,2013,9,4624527,0.19461449787189047
MA,2013,18,6713315,0.2681238702489009
MD,2013,16,5923188,0.2701248044127588
ME,2013,2,1328009,0.1506013889966107
MI,2013,21,9913065,0.2118416453437963
MN,2013,10,5413479,0.18472409332335085
MO,2013,8,6040715,0.13243465384478492
MS,2013,3,2988711,0.10037772136549837
MT,2013,1,1013569,0.09866126529126286
NC,2013,12,9843336,0.12190988908638291
ND,2013,1,722036,0.13849724944462602
NE,2013,3,1865279,0.16083384844840906
NH,2013,3,1326622,0.22613826696677727
NJ,2013,17,8856972,0.19193918643979002
NM,2013,2,2092273,0.09558982025768148
NV,2013,3,2775970,0.10807033217217765
NY,2013,30,19624447,0.15287054967714503
OH,2013,9,11576684,0.07774246925976384
OK,2013,8,3853214,0.20761888646724527
OR,2013,7,3922468,0.1784590721963825
PA,2013,18,12776309,0.14088575972919878
RI,2013,1,1055081,0.09477945295195345
SC,2013,4,4764080,0.08396164631996104
SD,2013,1,842316,0.11872029024736559
TN,2013,10,6494340,0.15398023509702294
TX,2013,12,26480266,0.04531676532252357
UT,2013,3,2897640,0.10353252992090115
VA,2013,16,8252427,0.1938823572750174
VT,2013,2,626210,0.3193816770731863
WA,2013,7,6963985,0.10051716079227627
WI,2013,4,5736754,0.06972584147760215
WV,2013,4,1853914,0.21575973858550074
WY,2013,1,582122,0.17178529586581506
AK,2014,2,736283,0.27163468394625434
AL,2014,8,4841799,0.16522784196535215
AR,2014,6,2967392,0.20219775479613075
AZ,2014,3,6730413,0.04457378767097948
CA,2014,40,38596972,0.10363507272021236
CO,2014,3,5350101,0.05607370776738607
CT,2014,6,3594524,0.16692057140250002
DC,2014,1,662328,0.15098259472647993
DE,2014,1,932487,0.10724010093438299
FL,2014,28,19845911,0.1410869977195806
GA,2014,9,10067278,0.08939854447249793
HI,2014,2,1414538,0.14138891991590188
IA,2014,3,3109350,0.09648318780452506
ID,2014,2,1631112,0.12261573699414878
IL,2014,20,12884493,0.15522535500620785
IN,2014,3,6593644,0.04549836175565439
KS,2014,5,2900475,0.17238555753798948
KY,2014,3,4414349,0.06796019073254063
LA,2014,9,4644013,0.1937979071118018
MA,2014,18,6762596,0.26616997377930013
MD,2014,16,5957283,0.26857881352959057
ME,2014,2,1330513,0.15031796006502754
MI,2014,21,9929848,0.2114835997489589
MN,2014,10,5451079,0.18344991881423842
MO,2014,8,6056202,0.13209599019319368
MS,2014,3,2990468,0.10031874609592879
MT,2014,1,1021869,0.09785990180737453
NC,2014,12,9932887,0.1208107975052973
ND,2014,1,737401,0.13561142444884128
NE,2014,3,1879321,0.15963212245273692
NH,2014,3,1333341,0.224998706257439
NJ,2014,17,8864525,0.19177564505712377
NM,2014,2,2089568,0.09571356376054764
NV,2014,3,2817628,0.1064725364739419
NY,2014,29,19651049,0.14757481903383377
OH,2014,9,11602700,0.07756815224042679
OK,2014,8,3878187,0.20628195597582066
OR,2014,7,3963244,0.1766229886426372
PA,2014,18,12788313,0.14075351455661117
RI,2014,1,1055936,0.09470270925510638
SC,2014,4,4823617,0.08292532346577268
SD,2014,1,849129,0.11776773611547833
TN,2014,10,6541223,0.1528766103831042
TX,2014,12,26964333,0.04450323321552215
UT,2014,3,2936879,0.10214925436151778
VA,2014,16,8310993,0.192516104874592
VT,2014,2,625214,0.31989046950324207
WA,2014,7,7054655,0.09922526331904254
WI,2014,4,5751525,0.06954677237776068
WV,2014,4,1849489,0.21627595514220416
WY,2014,1,582531,0.17166468393956716
AK,2015,2,737498,0.27118717610081655
AL,2015,8,4852347,0.16486867076901138
AR,2015,7,2978048,0.23505329665606464
AZ,2015,3,6829676,0.04392594904941318
CA,2015,43,38918045,0.11048859211710146
CO,2015,3,5450623,0.055039579879217475
CT,2015,3,3587122,0.08363250539011498
DC,2015,1,675400,0.14806040864672787
DE,2015,1,941252,0.10624147412170173
FL,2015,27,20209042,0.1336035622074515
GA,2015,9,10178447,0.08842213355338
HI,2015,2,1422052,0.14064183306939548
IA,2015,3,3120960,0.09612426945555214
ID,2015,2,1651059,0.12113437496782369
IL,2015,20,12858913,0.15553414196052187
IN,2015,3,6608422,0.04539661662042769
KS,2015,5,2909011,0.17187972132109505
KY,2015,3,4425976,0.0677816599095883
LA,2015,9,4664628,0.19294143069929692
MA,2015,16,6794228,0.23549401050421034
MD,2015,16,5985562,0.2673099033975423
ME,2015,2,1328262,0.15057270327691374
MI,2015,21,9931715,0.2114438442907393
MN,2015,10,5482032,0.18241411213944025
MO,2015,8,6071732,0.1317581210764902
MS,2015,3,2988471,0.10038578256238725
MT,2015,1,1030475,0.09704262597345885
NC,2015,12,10031646,0.11962144597207676
ND,2015,1,754066,0.1326143865391093
NE,2015,3,1891277,0.15862298330704597
NH,2015,3,1336350,0.22449208665394546
NJ,2015,16,8867949,0.18042503401857635
NM,2015,2,2089291,0.09572625354725599
NV,2015,3,2866939,0.10464122187461959
NY,2015,27,19654666,0.13737196042914188
OH,2015,9,11617527,0.07746915501035634
OK,2015,8,3909500,0.20462974804962272
OR,2015,7,4015792,0.17431181694669445
PA,2015,16,12784826,0.1251483594692646
RI,2015,1,1056065,0.09469114117028782
SC,2015,4,4891938,0.08176718511150387
SD,2015,1,853988,0.11709766413579582
TN,2015,10,6591170,0.15171813198567174
TX,2015,11,27470056,0.04004360238654046
UT,2015,3,2981835,0.10060918863719824
VA,2015,16,8361808,0.19134617776442606
VT,2015,2,625216,0.31988944620739074
WA,2015,7,7163657,0.09771545455065758
WI,2015,4,5760940,0.06943311334608589
WV,2015,4,1842050,0.21714937162400585
WY,2015,1,585613,0.17076123651626587
AK,2016,2,741456,0.26973953950065815
AL,2016,8,4863525,0.16448974766244648
AR,2016,7,2989918,0.23412013306050533
AZ,2016,3,6941072,0.04322098949557071
CA,2016,43,39167117,0.10978597173746539
CO,2016,3,5539215,0.05415929874539985
CT,2016,2,3578141,0.055894946565828454
DC,2016,1,685815,0.1458119172079934
DE,2016,1,948921,0.10538285062718604
FL,2016,27,20613477,0.13098226951231953
GA,2016,9,10301890,0.08736261016182467
HI,2016,2,1427559,0.14009928836566474
IA,2016,3,3131371,0.09580468108058739
ID,2016,2,1682380,0.11887920683793197
IL,2016,20,12820527,0.15599982746419083
IN,2016,3,6634304,0.045219513606853105
KS,2016,5,2910844,0.17177148620812382
KY,2016,3,4438182,0.0675952450800801
LA,2016,9,4678135,0.1923843582966289
MA,2016,16,6823608,0.23448005805726238
MD,2016,16,6003323,0.2665190595275317
ME,2016,2,1331317,0.15022718105454974
MI,2016,21,9950571,0.2110431652615714
MN,2016,10,5522744,0.1810694104235141
MO,2016,8,6087135,0.13142471786809393
MS,2016,3,2987938,0.1004036897686632
MT,2016,1,1040859,0.09607449231836397
NC,2016,12,10154788,0.11817085693960327
