governor,state,time_in_office,party,year
Jon Huntsman,Utah,2005 - 2009,Republican,2007
Anibal Acevedo Vilá,Puerto Rico,2005 - 2009,Popular Democratic Party,2007
Brian Schweitzer,Montana,2005 - 2013,Democrat,2007
M. Jodi Rell,Connecticut,2004 - 2011,Republican,2007
Kathleen Babineaux Blanco,Louisiana,2004 - 2008,Democrat,2007
Haley Barbour,Mississippi,2004 - 2012,Republican,2007
Ernie Fletcher,Kentucky,2003 - 2007,Republican,2007
Arnold Schwarzenegger,California,2003 - 2011,Republican,2007
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2007
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2007
Bob Riley,Alabama,2003 - 2011,Republican,2007
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2007
Mark Sanford,South Carolina,2003 - 2011,Republican,2007
Robert L. Ehrlich,Maryland,2003 - 2007,Republican,2007
Sonny Perdue,Georgia,2003 - 2011,Republican,2007
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2007
Brad Henry,Oklahoma,2003 - 2011,Democrat,2007
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2007
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2007
Jim Douglas,Vermont,2003 - 2011,Republican,2007
John E. Baldacci,Maine,2003 - 2011,Democrat,2007
Mike Rounds,South Dakota,2003 - 2011,Republican,2007
Don Carcieri,Rhode Island,2003 - 2011,Republican,2007
Janet Napolitano,Arizona,2003 - 2009,Democrat,2007
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2007
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2007
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2007
Felix P. Camacho,Guam,2003 - 2011,Republican,2007
Bill Richardson,New Mexico,2003 - 2011,Democrat,2007
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2007
Mitt Romney,Massachusetts,2003 - 2007,Republican,2007
Linda Lingle,Hawaii,2002 - 2010,Republican,2007
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2007
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2007
Rick Perry,Texas,2000 - 2015,Republican,2007
John Hoeven,North Dakota,2000 - 2010,Republican,2007
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2007
Bill Owens,Colorado,1999 - 2007,Republican,2007
Jeb Bush,Florida,1999 - 2007,Republican,2007
Kenny Guinn,Nevada,1999 - 2007,Republican,2007
Charles W. Turnbull,Virgin Islands,1999 - 2007,Democrat,2007
Bob Taft,Ohio,1999 - 2007,Republican,2007
Mike Huckabee,Arkansas,1996 - 2007,Republican,2007
George E. Pataki,New York,1995 - 2007,Republican,2007
Sarah Palin,Alaska,2006 - 2009,Republican,2006
James E. Risch,Idaho,2006 - 2007,Republican,2006
Jon Corzine,New Jersey,2006 - 2010,Democrat,2006
Tim Kaine,Virginia,2006 - 2010,Democrat,2006
Benígno Fitial,Northern Mariana Islands,2006 - 2013,Republican,2006
Dave Heineman,Nebraska,2005 - 2015,Republican,2006
Joe Manchin III,West Virginia,2005 - 2010,Democrat,2006
Chris Gregoire,Washington,2005 - 2013,Democrat,2006
Matt Blunt,Missouri,2005 - 2009,Republican,2006
Mitch Daniels,Indiana,2005 - 2013,Republican,2006
John Lynch,New Hampshire,2005 - 2013,Democrat,2006
Jon Huntsman,Utah,2005 - 2009,Republican,2006
