governor,state,time_in_office,party,year
Phil Bryant,Mississippi,2016 - 2020,Republican,2020
Jeff Colyer,Kansas,2018 - 2019,Republican,2019
Ricardo Rosselló,Puerto Rico,2017 - 2019,New Progressive Party (Puerto Rico),2019
Phil Bryant,Mississippi,2016 - 2020,Republican,2019
Matt Bevin,Kentucky,2015 - 2019,Republican,2019
John Hickenlooper,Colorado,2015 - 2019,Democrat,2019
Nathan Deal,Georgia,2015 - 2019,Republican,2019
Bruce Rauner,Illinois,2015 - 2019,Republican,2019
Dannel Malloy,Connecticut,2015 - 2019,Democrat,2019
Rick Scott,Florida,2015 - 2019,Republican,2019
Eddie Baza Calvo,Guam,2015 - 2019,Republican,2019
Kenneth Mapp,Virgin Islands,2015 - 2019,Independent,2019
Bill Haslam,Tennessee,2011 - 2019,Republican,2019
John Kasich,Ohio,2011 - 2019,Republican,2019
Mary Fallin,Oklahoma,2011 - 2019,Republican,2019
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2019
Paul LePage,Maine,2011 - 2019,Republican,2019
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2019
Mark Dayton,Minnesota,2011 - 2019,Democrat,2019
Brian Sandoval,Nevada,2011 - 2019,Republican,2019
Scott Walker,Wisconsin,2011 - 2019,Republican,2019
Matthew Mead,Wyoming,2011 - 2019,Republican,2019
Rick Snyder,Michigan,2011 - 2019,Republican,2019
Susana Martinez,New Mexico,2011 - 2019,Republican,2019
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2019
Jeff Colyer,Kansas,2018 - 2019,Republican,2018
Eric Greitens,Missouri,2017 - 2018,Republican,2018
Ricardo Rosselló,Puerto Rico,2017 - 2019,New Progressive Party (Puerto Rico),2018
Phil Bryant,Mississippi,2016 - 2020,Republican,2018
Matt Bevin,Kentucky,2015 - 2019,Republican,2018
John Hickenlooper,Colorado,2015 - 2019,Democrat,2018
Nathan Deal,Georgia,2015 - 2019,Republican,2018
Bruce Rauner,Illinois,2015 - 2019,Republican,2018
Sam Brownback,Kansas,2015 - 2018,Republican,2018
Dannel Malloy,Connecticut,2015 - 2019,Democrat,2018
Rick Scott,Florida,2015 - 2019,Republican,2018
Eddie Baza Calvo,Guam,2015 - 2019,Republican,2018
Kenneth Mapp,Virgin Islands,2015 - 2019,Independent,2018
Bill Walker,Alaska,2014 - 2018,Independent,2018
Terry McAuliffe,Virginia,2014 - 2018,Democrat,2018
Bill Haslam,Tennessee,2011 - 2019,Republican,2018
John Kasich,Ohio,2011 - 2019,Republican,2018
Mary Fallin,Oklahoma,2011 - 2019,Republican,2018
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2018
Paul LePage,Maine,2011 - 2019,Republican,2018
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2018
Mark Dayton,Minnesota,2011 - 2019,Democrat,2018
Brian Sandoval,Nevada,2011 - 2019,Republican,2018
Scott Walker,Wisconsin,2011 - 2019,Republican,2018
Matthew Mead,Wyoming,2011 - 2019,Republican,2018
Rick Snyder,Michigan,2011 - 2019,Republican,2018
Susana Martinez,New Mexico,2011 - 2019,Republican,2018
Christopher Christie,New Jersey,2010 - 2018,Republican,2018
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2018
Eric Greitens,Missouri,2017 - 2018,Republican,2017
Chuck Morse,New Hampshire,2017 - 2017,Republican,2017
Ricardo Rosselló,Puerto Rico,2017 - 2019,New Progressive Party (Puerto Rico),2017
Phil Bryant,Mississippi,2016 - 2020,Republican,2017
Matt Bevin,Kentucky,2015 - 2019,Republican,2017
Earl Ray Tomblin,West Virginia,2015 - 2017,Democrat,2017
John Hickenlooper,Colorado,2015 - 2019,Democrat,2017
Nathan Deal,Georgia,2015 - 2019,Republican,2017
Bruce Rauner,Illinois,2015 - 2019,Republican,2017
Sam Brownback,Kansas,2015 - 2018,Republican,2017
Dannel Malloy,Connecticut,2015 - 2019,Democrat,2017
Rick Scott,Florida,2015 - 2019,Republican,2017
Eddie Baza Calvo,Guam,2015 - 2019,Republican,2017
Kenneth Mapp,Virgin Islands,2015 - 2019,Independent,2017
Bill Walker,Alaska,2014 - 2018,Independent,2017
Terry McAuliffe,Virginia,2014 - 2018,Democrat,2017
Mike Pence,Indiana,2013 - 2017,Republican,2017
Alejandro García Padilla,Puerto Rico,2013 - 2017,Popular Democratic Party,2017
Maggie Hassan,New Hampshire,2013 - 2017,Democrat,2017
Robert Bentley,Alabama,2011 - 2017,Republican,2017
Bill Haslam,Tennessee,2011 - 2019,Republican,2017
Terry E. Branstad,Iowa,2011 - 2017,Republican,2017
Nikki R. Haley,South Carolina,2011 - 2017,Republican,2017
John Kasich,Ohio,2011 - 2019,Republican,2017
Mary Fallin,Oklahoma,2011 - 2019,Republican,2017
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2017
Peter Shumlin,Vermont,2011 - 2017,Democrat,2017
Paul LePage,Maine,2011 - 2019,Republican,2017
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2017
Mark Dayton,Minnesota,2011 - 2019,Democrat,2017
Brian Sandoval,Nevada,2011 - 2019,Republican,2017
Scott Walker,Wisconsin,2011 - 2019,Republican,2017
Matthew Mead,Wyoming,2011 - 2019,Republican,2017
Rick Snyder,Michigan,2011 - 2019,Republican,2017
Susana Martinez,New Mexico,2011 - 2019,Republican,2017
Christopher Christie,New Jersey,2010 - 2018,Republican,2017
Jack Markell,Delaware,2009 - 2017,Democrat,2017
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2017
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2017
Phil Bryant,Mississippi,2012 - 2016,Republican,2016
Phil Bryant,Mississippi,2016 - 2020,Republican,2016
Matt Bevin,Kentucky,2015 - 2019,Republican,2016
Earl Ray Tomblin,West Virginia,2015 - 2017,Democrat,2016
John Hickenlooper,Colorado,2015 - 2019,Democrat,2016
Nathan Deal,Georgia,2015 - 2019,Republican,2016
Bruce Rauner,Illinois,2015 - 2019,Republican,2016
Sam Brownback,Kansas,2015 - 2018,Republican,2016
Dannel Malloy,Connecticut,2015 - 2019,Democrat,2016
Rick Scott,Florida,2015 - 2019,Republican,2016
Eddie Baza Calvo,Guam,2015 - 2019,Republican,2016
Kenneth Mapp,Virgin Islands,2015 - 2019,Independent,2016
Bill Walker,Alaska,2014 - 2018,Independent,2016
Terry McAuliffe,Virginia,2014 - 2018,Democrat,2016
Mike Pence,Indiana,2013 - 2017,Republican,2016
Pat McCrory,North Carolina,2013 - 2016,Republican,2016
Alejandro García Padilla,Puerto Rico,2013 - 2017,Popular Democratic Party,2016
Maggie Hassan,New Hampshire,2013 - 2017,Democrat,2016
Robert Bentley,Alabama,2011 - 2017,Republican,2016
Bill Haslam,Tennessee,2011 - 2019,Republican,2016
Terry E. Branstad,Iowa,2011 - 2017,Republican,2016
Nikki R. Haley,South Carolina,2011 - 2017,Republican,2016
John Kasich,Ohio,2011 - 2019,Republican,2016
Mary Fallin,Oklahoma,2011 - 2019,Republican,2016
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2016
Peter Shumlin,Vermont,2011 - 2017,Democrat,2016
Paul LePage,Maine,2011 - 2019,Republican,2016
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2016
Mark Dayton,Minnesota,2011 - 2019,Democrat,2016
Brian Sandoval,Nevada,2011 - 2019,Republican,2016
Scott Walker,Wisconsin,2011 - 2019,Republican,2016
Matthew Mead,Wyoming,2011 - 2019,Republican,2016
Rick Snyder,Michigan,2011 - 2019,Republican,2016
Susana Martinez,New Mexico,2011 - 2019,Republican,2016
Jack Dalrymple,North Dakota,2010 - 2016,Republican,2016
Christopher Christie,New Jersey,2010 - 2018,Republican,2016
Jack Markell,Delaware,2009 - 2017,Democrat,2016
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2016
Bobby Jindal,Louisiana,2008 - 2016,Republican,2016
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2016
Phil Bryant,Mississippi,2012 - 2016,Republican,2015
Matt Bevin,Kentucky,2015 - 2019,Republican,2015
Earl Ray Tomblin,West Virginia,2015 - 2017,Democrat,2015
John Hickenlooper,Colorado,2015 - 2019,Democrat,2015
John Hickenlooper,Colorado,2011 - 2015,Democrat,2015
Nathan Deal,Georgia,2015 - 2019,Republican,2015
Nathan Deal,Georgia,2011 - 2015,Republican,2015
Bruce Rauner,Illinois,2015 - 2019,Republican,2015
Sam Brownback,Kansas,2015 - 2018,Republican,2015
Sam Brownback,Kansas,2011 - 2015,Republican,2015
Dannel Malloy,Connecticut,2015 - 2019,Democrat,2015
Dannel Malloy,Connecticut,2011 - 2015,Democrat,2015
Rick Scott,Florida,2015 - 2019,Republican,2015
Rick Scott,Florida,2011 - 2015,Republican,2015
Eddie Baza Calvo,Guam,2015 - 2019,Republican,2015
Eddie Baza Calvo,Guam,2011 - 2015,Republican,2015
Kenneth Mapp,Virgin Islands,2015 - 2019,Independent,2015
Bill Walker,Alaska,2014 - 2018,Independent,2015
Terry McAuliffe,Virginia,2014 - 2018,Democrat,2015
Eloy Inos,Northern Mariana Islands,2013 - 2015,Republican,2015
Mike Pence,Indiana,2013 - 2017,Republican,2015
Pat McCrory,North Carolina,2013 - 2016,Republican,2015
Alejandro García Padilla,Puerto Rico,2013 - 2017,Popular Democratic Party,2015
Maggie Hassan,New Hampshire,2013 - 2017,Democrat,2015
Tom Corbett,Pennsylvania,2011 - 2015,Republican,2015
Robert Bentley,Alabama,2011 - 2017,Republican,2015
Bill Haslam,Tennessee,2011 - 2019,Republican,2015
Terry E. Branstad,Iowa,2011 - 2017,Republican,2015
Nikki R. Haley,South Carolina,2011 - 2017,Republican,2015
John Kasich,Ohio,2011 - 2019,Republican,2015
Mary Fallin,Oklahoma,2011 - 2019,Republican,2015
John A. Kitzhaber,Oregon,2011 - 2015,Democrat,2015
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2015
Peter Shumlin,Vermont,2011 - 2017,Democrat,2015
Paul LePage,Maine,2011 - 2019,Republican,2015
Lincoln Chafee,Rhode Island,2011 - 2015,Democrat,2015
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2015
Mark Dayton,Minnesota,2011 - 2019,Democrat,2015
Brian Sandoval,Nevada,2011 - 2019,Republican,2015
Scott Walker,Wisconsin,2011 - 2019,Republican,2015
Matthew Mead,Wyoming,2011 - 2019,Republican,2015
Rick Snyder,Michigan,2011 - 2019,Republican,2015
Susana Martinez,New Mexico,2011 - 2019,Republican,2015
Jack Dalrymple,North Dakota,2010 - 2016,Republican,2015
Christopher Christie,New Jersey,2010 - 2018,Republican,2015
Pat Quinn,Illinois,2009 - 2015,Democrat,2015
Jan Brewer,Arizona,2009 - 2015,Republican,2015
Jack Markell,Delaware,2009 - 2017,Democrat,2015
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2015
Bobby Jindal,Louisiana,2008 - 2016,Republican,2015
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2015
Martin O’Malley,Maryland,2007 - 2015,Democrat,2015
Mike Beebe,Arkansas,2007 - 2015,Democrat,2015
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2015
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2015
"John de Jongh, Jr.",Virgin Islands,2007 - 2015,Democrat,2015
Dave Heineman,Nebraska,2005 - 2015,Republican,2015
Rick Perry,Texas,2000 - 2015,Republican,2015
Phil Bryant,Mississippi,2012 - 2016,Republican,2014
John Hickenlooper,Colorado,2011 - 2015,Democrat,2014
Nathan Deal,Georgia,2011 - 2015,Republican,2014
Sam Brownback,Kansas,2011 - 2015,Republican,2014
Dannel Malloy,Connecticut,2011 - 2015,Democrat,2014
Rick Scott,Florida,2011 - 2015,Republican,2014
Eddie Baza Calvo,Guam,2011 - 2015,Republican,2014
Bill Walker,Alaska,2014 - 2018,Independent,2014
Terry McAuliffe,Virginia,2014 - 2018,Democrat,2014
Eloy Inos,Northern Mariana Islands,2013 - 2015,Republican,2014
Mike Pence,Indiana,2013 - 2017,Republican,2014
Pat McCrory,North Carolina,2013 - 2016,Republican,2014
Alejandro García Padilla,Puerto Rico,2013 - 2017,Popular Democratic Party,2014
Maggie Hassan,New Hampshire,2013 - 2017,Democrat,2014
Tom Corbett,Pennsylvania,2011 - 2015,Republican,2014
Robert Bentley,Alabama,2011 - 2017,Republican,2014
Bill Haslam,Tennessee,2011 - 2019,Republican,2014
Terry E. Branstad,Iowa,2011 - 2017,Republican,2014
Nikki R. Haley,South Carolina,2011 - 2017,Republican,2014
John Kasich,Ohio,2011 - 2019,Republican,2014
Mary Fallin,Oklahoma,2011 - 2019,Republican,2014
John A. Kitzhaber,Oregon,2011 - 2015,Democrat,2014
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2014
Peter Shumlin,Vermont,2011 - 2017,Democrat,2014
Paul LePage,Maine,2011 - 2019,Republican,2014
Lincoln Chafee,Rhode Island,2011 - 2015,Democrat,2014
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2014
Mark Dayton,Minnesota,2011 - 2019,Democrat,2014
Brian Sandoval,Nevada,2011 - 2019,Republican,2014
Scott Walker,Wisconsin,2011 - 2019,Republican,2014
Matthew Mead,Wyoming,2011 - 2019,Republican,2014
Rick Snyder,Michigan,2011 - 2019,Republican,2014
Susana Martinez,New Mexico,2011 - 2019,Republican,2014
Jack Dalrymple,North Dakota,2010 - 2016,Republican,2014
Neil Abercrombie,Hawaii,2010 - 2014,Democrat,2014
Christopher Christie,New Jersey,2010 - 2018,Republican,2014
Robert McDonnell,Virginia,2010 - 2014,Republican,2014
Sean Parnell,Alaska,2009 - 2014,Republican,2014
Pat Quinn,Illinois,2009 - 2015,Democrat,2014
Jan Brewer,Arizona,2009 - 2015,Republican,2014
Jack Markell,Delaware,2009 - 2017,Democrat,2014
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2014
Bobby Jindal,Louisiana,2008 - 2016,Republican,2014
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2014
Martin O’Malley,Maryland,2007 - 2015,Democrat,2014
Mike Beebe,Arkansas,2007 - 2015,Democrat,2014
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2014
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2014
"John de Jongh, Jr.",Virgin Islands,2007 - 2015,Democrat,2014
Dave Heineman,Nebraska,2005 - 2015,Republican,2014
Rick Perry,Texas,2000 - 2015,Republican,2014
Phil Bryant,Mississippi,2012 - 2016,Republican,2013
John Hickenlooper,Colorado,2011 - 2015,Democrat,2013
Nathan Deal,Georgia,2011 - 2015,Republican,2013
Sam Brownback,Kansas,2011 - 2015,Republican,2013
Dannel Malloy,Connecticut,2011 - 2015,Democrat,2013
Rick Scott,Florida,2011 - 2015,Republican,2013
Eddie Baza Calvo,Guam,2011 - 2015,Republican,2013
Eloy Inos,Northern Mariana Islands,2013 - 2015,Republican,2013
Mike Pence,Indiana,2013 - 2017,Republican,2013
Pat McCrory,North Carolina,2013 - 2016,Republican,2013
Alejandro García Padilla,Puerto Rico,2013 - 2017,Popular Democratic Party,2013
Maggie Hassan,New Hampshire,2013 - 2017,Democrat,2013
Tom Corbett,Pennsylvania,2011 - 2015,Republican,2013
Robert Bentley,Alabama,2011 - 2017,Republican,2013
Bill Haslam,Tennessee,2011 - 2019,Republican,2013
Terry E. Branstad,Iowa,2011 - 2017,Republican,2013
Nikki R. Haley,South Carolina,2011 - 2017,Republican,2013
John Kasich,Ohio,2011 - 2019,Republican,2013
Mary Fallin,Oklahoma,2011 - 2019,Republican,2013
John A. Kitzhaber,Oregon,2011 - 2015,Democrat,2013
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2013
Peter Shumlin,Vermont,2011 - 2017,Democrat,2013
Paul LePage,Maine,2011 - 2019,Republican,2013
Lincoln Chafee,Rhode Island,2011 - 2015,Democrat,2013
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2013
Mark Dayton,Minnesota,2011 - 2019,Democrat,2013
Brian Sandoval,Nevada,2011 - 2019,Republican,2013
Scott Walker,Wisconsin,2011 - 2019,Republican,2013
Matthew Mead,Wyoming,2011 - 2019,Republican,2013
Rick Snyder,Michigan,2011 - 2019,Republican,2013
Susana Martinez,New Mexico,2011 - 2019,Republican,2013
Jack Dalrymple,North Dakota,2010 - 2016,Republican,2013
Neil Abercrombie,Hawaii,2010 - 2014,Democrat,2013
Christopher Christie,New Jersey,2010 - 2018,Republican,2013
Robert McDonnell,Virginia,2010 - 2014,Republican,2013
Sean Parnell,Alaska,2009 - 2014,Republican,2013
Pat Quinn,Illinois,2009 - 2015,Democrat,2013
Jan Brewer,Arizona,2009 - 2015,Republican,2013
Jack Markell,Delaware,2009 - 2017,Democrat,2013
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2013
Bev Perdue,North Carolina,2009 - 2013,Democrat,2013
Luis G. Fortuño,Puerto Rico,2009 - 2013,New Progressive Party (Puerto Rico),2013
Bobby Jindal,Louisiana,2008 - 2016,Republican,2013
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2013
Martin O’Malley,Maryland,2007 - 2015,Democrat,2013
Mike Beebe,Arkansas,2007 - 2015,Democrat,2013
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2013
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2013
"John de Jongh, Jr.",Virgin Islands,2007 - 2015,Democrat,2013
Benígno Fitial,Northern Mariana Islands,2006 - 2013,Republican,2013
Dave Heineman,Nebraska,2005 - 2015,Republican,2013
Chris Gregoire,Washington,2005 - 2013,Democrat,2013
Mitch Daniels,Indiana,2005 - 2013,Republican,2013
John Lynch,New Hampshire,2005 - 2013,Democrat,2013
Brian Schweitzer,Montana,2005 - 2013,Democrat,2013
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2013
Rick Perry,Texas,2000 - 2015,Republican,2013
Phil Bryant,Mississippi,2012 - 2016,Republican,2012
John Hickenlooper,Colorado,2011 - 2015,Democrat,2012
Nathan Deal,Georgia,2011 - 2015,Republican,2012
Sam Brownback,Kansas,2011 - 2015,Republican,2012
Dannel Malloy,Connecticut,2011 - 2015,Democrat,2012
Rick Scott,Florida,2011 - 2015,Republican,2012
Eddie Baza Calvo,Guam,2011 - 2015,Republican,2012
Tom Corbett,Pennsylvania,2011 - 2015,Republican,2012
Robert Bentley,Alabama,2011 - 2017,Republican,2012
Bill Haslam,Tennessee,2011 - 2019,Republican,2012
Terry E. Branstad,Iowa,2011 - 2017,Republican,2012
Nikki R. Haley,South Carolina,2011 - 2017,Republican,2012
John Kasich,Ohio,2011 - 2019,Republican,2012
Mary Fallin,Oklahoma,2011 - 2019,Republican,2012
John A. Kitzhaber,Oregon,2011 - 2015,Democrat,2012
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2012
Peter Shumlin,Vermont,2011 - 2017,Democrat,2012
Paul LePage,Maine,2011 - 2019,Republican,2012
Lincoln Chafee,Rhode Island,2011 - 2015,Democrat,2012
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2012
Mark Dayton,Minnesota,2011 - 2019,Democrat,2012
Brian Sandoval,Nevada,2011 - 2019,Republican,2012
Scott Walker,Wisconsin,2011 - 2019,Republican,2012
Matthew Mead,Wyoming,2011 - 2019,Republican,2012
Rick Snyder,Michigan,2011 - 2019,Republican,2012
Susana Martinez,New Mexico,2011 - 2019,Republican,2012
Jack Dalrymple,North Dakota,2010 - 2016,Republican,2012
Neil Abercrombie,Hawaii,2010 - 2014,Democrat,2012
Christopher Christie,New Jersey,2010 - 2018,Republican,2012
Robert McDonnell,Virginia,2010 - 2014,Republican,2012
Sean Parnell,Alaska,2009 - 2014,Republican,2012
Pat Quinn,Illinois,2009 - 2015,Democrat,2012
Jan Brewer,Arizona,2009 - 2015,Republican,2012
Jack Markell,Delaware,2009 - 2017,Democrat,2012
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2012
Bev Perdue,North Carolina,2009 - 2013,Democrat,2012
Luis G. Fortuño,Puerto Rico,2009 - 2013,New Progressive Party (Puerto Rico),2012
Bobby Jindal,Louisiana,2008 - 2016,Republican,2012
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2012
Martin O’Malley,Maryland,2007 - 2015,Democrat,2012
Mike Beebe,Arkansas,2007 - 2015,Democrat,2012
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2012
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2012
"John de Jongh, Jr.",Virgin Islands,2007 - 2015,Democrat,2012
Benígno Fitial,Northern Mariana Islands,2006 - 2013,Republican,2012
Dave Heineman,Nebraska,2005 - 2015,Republican,2012
Chris Gregoire,Washington,2005 - 2013,Democrat,2012
Mitch Daniels,Indiana,2005 - 2013,Republican,2012
John Lynch,New Hampshire,2005 - 2013,Democrat,2012
Brian Schweitzer,Montana,2005 - 2013,Democrat,2012
Haley Barbour,Mississippi,2004 - 2012,Republican,2012
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2012
Rick Perry,Texas,2000 - 2015,Republican,2012
John Hickenlooper,Colorado,2011 - 2015,Democrat,2011
Nathan Deal,Georgia,2011 - 2015,Republican,2011
Sam Brownback,Kansas,2011 - 2015,Republican,2011
Dannel Malloy,Connecticut,2011 - 2015,Democrat,2011
Rick Scott,Florida,2011 - 2015,Republican,2011
Eddie Baza Calvo,Guam,2011 - 2015,Republican,2011
Tom Corbett,Pennsylvania,2011 - 2015,Republican,2011
Robert Bentley,Alabama,2011 - 2017,Republican,2011
Bill Haslam,Tennessee,2011 - 2019,Republican,2011
Terry E. Branstad,Iowa,2011 - 2017,Republican,2011
Nikki R. Haley,South Carolina,2011 - 2017,Republican,2011
John Kasich,Ohio,2011 - 2019,Republican,2011
Mary Fallin,Oklahoma,2011 - 2019,Republican,2011
John A. Kitzhaber,Oregon,2011 - 2015,Democrat,2011
Dennis Daugaard,South Dakota,2011 - 2019,Republican,2011
Peter Shumlin,Vermont,2011 - 2017,Democrat,2011
Paul LePage,Maine,2011 - 2019,Republican,2011
Lincoln Chafee,Rhode Island,2011 - 2015,Democrat,2011
Edmund G. Brown Jr.,California,2011 - 2019,Democrat,2011
Mark Dayton,Minnesota,2011 - 2019,Democrat,2011
